F,V,T1,T2,x,Status
3.0671804617066374,-0.00010614583833333524,8.78293752670288,0,38,drift3.00
3.0631510149019414,-9.908406974999673e-05,9.128454446792603,0,38,drift3.00
3.061046415362687,-0.0001086459675833304,9.429269790649414,0,38,drift3.00
3.0582827241527752,-0.00010206668008333128,9.646992921829224,0,38,drift3.00
3.055391708415577,-0.00010263688499999313,9.882930517196655,0,38,drift3.00
3.05265423107893,-9.610145941666565e-05,10.113353729248047,0,38,drift3.00
3.050598314447166,-0.00010180350858333617,10.48226284980774,0,38,drift3.00
3.0470032689708577,-0.00010303164224999967,11.298851013183594,0,38,drift3.00
2.9895253223910974,0.00010089363698400147,204.2367856502533,221.47998428344727,38,up
2.947735075756302,-0.00010487384275000011,0.284679651260376,0,38,drift3.50
2.948341739680429,-0.00010491770466666481,0.5653030872344971,0,39,drift3.50
3.279452917726477,-0.00010776872924999487,0.8667986392974854,0,40,drift3.50
3.395453051762017,-0.00011202333516666801,1.1469171047210693,0,41,drift3.50
3.557128987541858,-0.00011176016366666597,1.4265296459197998,0,41,drift3.50
3.6954895554722276,-0.00011645338875000341,1.7284674644470215,0,43,drift3.50
3.775932442843658,-0.00011180402558333066,2.0329174995422363,0,43,drift3.50
3.7223437962124413,-0.00011176016366666944,2.288719892501831,0,43,drift3.50
3.6954895554722276,-0.00011329533075000314,2.590745449066162,0,43,drift3.50
3.677686590686427,-0.00011246195433333231,2.8706676959991455,0,43,drift3.50
3.6623514748265507,-0.00010754941966666792,3.150561809539795,0,43,drift3.50
3.650791156716798,-0.0001109267872499986,3.4526782035827637,0,43,drift3.50
3.6392645421583847,-0.00010794417691666058,3.732576608657837,0,43,drift3.50
3.629557919372353,-0.00011719904133333098,4.01249885559082,0,43,drift3.50
3.620922320551138,-0.00010145261325000127,4.31432843208313,0,43,drift3.50
3.6131779934209236,-0.00011136540641666637,4.594488143920898,0,43,drift3.50
3.6063024689474847,-0.00010956706783333062,4.874523878097534,0,43,drift3.50
3.600101015500854,-0.0001101372727499994,5.176210403442383,0,43,drift3.50
3.594304004670307,-0.00010719852433333302,5.45644736289978,0,43,drift3.50
3.5886418080451215,-0.00011329533074999967,5.736433506011963,0,43,drift3.50
3.5834739301729277,-0.0001038211567499954,6.038409471511841,0,43,drift3.50
3.578160003578261,-0.0001109706491666633,6.318408012390137,0,43,drift3.50
3.573845949006691,-0.00010592652874999789,6.59833550453186,0,43,drift3.50
3.5695431289522355,-0.000108558243750001,6.900265455245972,0,43,drift3.50
3.5655211718256155,-0.00011272512583333089,7.180259704589844,0,43,drift3.50
3.5621171131402365,-0.00010667218133332892,7.460246324539185,0,43,drift3.50
3.558188776989562,-0.00010934775824999673,7.762277126312256,0,43,drift3.50
3.5540282608185434,-0.00010592652874999789,8.04216194152832,0,43,drift3.50
3.550556795030483,-0.00010728624816666588,8.322301387786865,0,43,drift3.50
3.547193929574519,-0.00010737397199999874,8.624162912368774,0,43,drift3.50
3.5441531202758094,-0.00010855824374999754,8.904093980789185,0,43,drift3.50
3.541456836168579,-0.00010031220341666716,9.18418264389038,0,43,drift3.50
3.5386856552805908,-0.00010618970024999994,9.48584508895874,0,43,drift3.50
3.534345386835756,-0.00010487384275000011,9.766021013259888,0,43,drift3.50
3.533098355436162,-0.00010825121033333426,10.045997142791748,0,43,drift3.50
3.4737423570995785,0.0001071150112439967,233.59961771965027,250.84300994873047,43,up
3.4205621975106064,-0.00010456680933333337,0.28481459617614746,0,43,drift4.00
3.420494790407925,-0.00011048816808333084,0.5647540092468262,0,43,drift4.00
3.8255103668653696,-0.00011526911700000114,0.8666739463806152,0,45,drift4.00
3.945832045150554,-0.00011285671158333191,1.1466102600097656,0,46,drift4.00
4.079331812009831,-0.00010908458674999816,1.4267072677612305,0,47,drift4.00
4.214434369977296,-0.0001231642619999966,1.7284934520721436,0,48,drift4.00
