F,V,T1,T2,x,Status,F_set
1.9380440847009561,-0.0003581325495833343,13.265878677368164,0,19,drift,2.0
1.936122982274554,-0.00033848241091666634,13.566315650939941,0,19,drift,2.0
1.934097024355093,-0.00034817589449999756,13.8913254737854,0,19,drift,2.0
1.9326178129351537,-0.000334315528833333,14.191965818405151,0,19,drift,2.0
1.9305955998547302,-0.000345193284166663,14.492274284362793,0,19,drift,2.0
1.9288242909898408,-0.00034936016624999636,14.817172765731812,0,19,drift,2.0
1.9270567269639893,-0.0003345787003333281,15.137261867523193,0,19,drift,2.0
1.92624784173182,-0.00034295632641666643,15.418125629425049,0,19,drift,2.0
1.9248397822535994,-0.0003600186120000029,15.743056297302246,0,19,drift,2.0
1.9224056368790159,-0.0003389648919999988,16.043455362319946,0,19,drift,2.0
1.920888977068698,-0.00034571962716666363,16.343869924545288,0,19,drift,2.0
1.919956512148281,-0.00033593841974999955,16.668760299682617,0,19,drift,2.0
1.91839491426951,-0.0003506760237500031,16.96927309036255,0,19,drift,2.0
1.917316400626617,-0.00034168433083333477,17.26953649520874,0,19,drift,2.0
1.9157323337136192,-0.0003485706517500006,17.59444284439087,0,19,drift,2.0
1.914485302314025,-0.0003482197564166692,17.89507293701172,0,19,drift,2.0
1.91323827091443,-0.00034690389891666937,18.195445775985718,0,19,drift,2.0
1.9123469992234285,-0.00033593841974999955,18.520487546920776,0,19,drift,2.0
1.8837792100156454,0.00034684319402400465,103.07209873199463,121.59286642074585,19,up,2.0
1.85937999587249,-0.0003534393245000003,0.3051168918609619,0,19,drift,3.0
2.0615114277779107,-0.0003651504562499977,0.9306416511535645,0,20,drift,3.0
2.1945955175039904,-0.0003337014619999995,1.5315778255462646,0,21,drift,3.0
2.307401303840269,-0.000358176411499999,2.156895875930786,0,22,drift,3.0
2.4020820692334945,-0.0003588343402500041,2.782169818878174,0,23,drift,3.0
2.4721442627920855,-0.0003456319033333377,3.383157253265381,0,24,drift,3.0
2.6135980677676947,-0.00039339753058333093,4.0085084438323975,0,25,drift,3.0
2.671590645107389,-0.00030198929625000273,4.6337666511535645,0,26,drift,3.0
2.816830482350235,-0.0002296171337499986,5.234804630279541,0,27,drift,3.0
2.93455698718221,-0.0002451881141666626,5.860122919082642,0,28,drift,3.0
3.031334862436615,-0.00022816969050000122,6.485410451889038,0,29,drift,3.0
3.1364075561597944,-0.00026900513491666736,7.085985898971558,0,30,drift,3.0
3.1018576711968584,-0.00025224988274999763,7.488924026489258,0,30,drift,3.0
3.0766848631846266,-0.0002501006488333339,7.769881248474121,0,30,drift,3.0
3.060810490503304,-0.00025746945083332876,8.030394792556763,0,30,drift,3.0
3.046703681847833,-0.00024909182475000083,8.337061643600464,0,30,drift,3.0
3.0358024554087355,-0.00026689976291666487,8.79833722114563,0,30,drift,3.0
3.02663508944415,-0.00025703083166666446,9.51051950454712,0,30,drift,3.0
3.01749393735283,-0.00026804017274999897,10.139059066772461,0,30,drift,3.0
3.009749610222616,-0.0002467232812499963,10.399342775344849,0,30,drift,3.0
3.0026381608897945,-0.0002616363329166656,10.670116901397705,0,30,drift,3.0
2.9963131277549153,-0.0002656716292500014,10.945811986923218,0,30,drift,3.0
2.992257467076955,-0.00025453070241666584,11.267343044281006,0,30,drift,3.0
2.986730084657131,-0.00025896075599999777,11.530385971069336,0,30,drift,3.0
2.9806746799329744,-0.0002648821147499987,11.794600486755371,0,30,drift,3.0
2.9755742091634625,-0.0002586098606666698,12.397610664367676,0,30,drift,3.0
2.972439778888807,-0.0002624258474166613,13.11832594871521,0,30,drift,3.0
2.966863713561491,-0.00026330308574999683,13.422685146331787,0,30,drift,3.0
2.9614187176004996,-0.00026010116583333187,13.916409730911255,0,30,drift,3.0
2.9588909512499706,-0.0002609784041666674,14.404782772064209,0,30,drift,3.0
2.9540413846959925,-0.0002546184262499987,14.907774209976196,0,30,drift,3.0
2.952116537430552,-0.0002579519319166647,15.81001353263855,0,30,drift,3.0
2.9479372970643447,-0.00026308377616666295,16.31517767906189,0,30,drift,3.0
2.9445444728960783,-0.0002565922124999967,16.64673089981079,0,30,drift,3.0
2.9414325116556492,-0.0002552324930833322,16.91059184074402,0,30,drift,3.0
2.937691417456866,-0.0002542236689999991,17.167872428894043,0,30,drift,3.0
2.936126074739057,-0.00024751279574999896,17.43639826774597,0,30,drift,3.0
2.933276252231275,-0.00025856599874999817,17.701688289642334,0,30,drift,3.0
2.9289621976597062,-0.0002531271210833262,17.96483016014099,0,30,drift,3.0
2.9266890803637486,-0.0002573817269999959,18.57222580909729,0,30,drift,3.0
2.925355917666284,-0.0002567237982499977,18.969380378723145,0,30,drift,3.0
2.9216485270188417,-0.00026422418599999706,20.092453241348267,0,30,drift,3.0
2.9202779159309986,-0.0002629083285000007,20.42935061454773,0,30,drift,3.0
2.918278171884803,-0.00026189950441666415,20.68959665298462,0,30,drift,3.0
2.916559290766443,-0.00025725014124999834,21.08400011062622,0,30,drift,3.0
2.912997948841475,-0.00026053978499999617,21.377151250839233,0,30,drift,3.0
2.910728576384556,-0.0002627767427499997,21.716724634170532,0,30,drift,3.0
2.9088748810608345,-0.00025926778941665757,22.050121068954468,0,30,drift,3.0
2.9056580643273464,-0.00026882968724999817,22.375226259231567,0,30,drift,3.0
2.904190087424521,-0.00026189950441666415,22.706811666488647,0,30,drift,3.0
2.9017297281766727,-0.00025058312991666637,22.956958055496216,0,30,drift,3.0
