i,Iter,F,V,T1,T2,x,Status
138,2,6.9217396882902085,0.00018556748808000456,677.0266964435577,677.8936002254486,97,tophold
139,2,6.902283302172431,0.00015941876784000136,678.9005737304688,679.7670783996582,97,tophold
140,2,6.885199646069014,0.00016901926416000232,680.7957265377045,681.6625046730042,97,tophold
141,2,6.86880623869705,0.00013465959312000328,682.692239522934,683.558981180191,97,tophold
142,2,6.854041386925853,0.00017255628912000304,684.5469927787781,685.4136452674866,97,tophold
143,2,6.839103972971793,0.0001547448420000097,686.4136471748352,687.2803063392639,97,tophold
144,2,6.8252019321149096,0.00015588174288000411,688.30837225914,689.1750774383545,97,tophold
145,2,6.812604892765926,0.0001518394286400028,690.1719071865082,691.0385875701904,97,tophold
146,2,6.800849094058399,0.00016080831336000648,692.0277123451233,692.8945572376251,97,tophold
147,2,6.789352138625164,0.00015461851968000262,693.900586605072,694.7672390937805,97,tophold
148,2,6.7775100588262065,0.000148681370640006,695.7548017501831,696.6214361190796,97,tophold
149,2,6.7663258723494115,0.00015335529648000112,697.6293287277222,698.4959723949432,97,tophold
150,2,6.755821149467639,0.00014148099840000788,699.4947533607483,700.3615388870239,97,tophold
151,2,6.746222378045896,0.0001599240571200089,701.3574092388153,702.2240746021271,97,tophold
152,2,6.74077588414929,0.00015310265184000083,703.2131686210632,704.0799398422241,97,tophold
153,2,6.736504970123437,0.00016143992496000029,705.1078577041626,705.974451303482,97,tophold
154,2,6.728588679984607,0.0001541132303999916,706.9860053062439,707.8529088497162,97,tophold
155,2,5.549003479190579,0.00013268580686999834,710.3470182418823,717.247317314148,92,down
156,2,4.57326544575554,0.00011771661195000491,719.8071691989899,726.7073438167572,87,down
157,2,3.6658916958593455,0.00011001095043000272,729.230194568634,736.130665063858,82,down
158,2,2.951646035853841,0.00010170525789000504,738.6488265991211,745.5490849018097,77,down
159,2,2.4376844037596195,9.249951882000021e-05,748.0692386627197,754.9693977832794,72,down
160,2,1.9573400419143547,8.605708049999952e-05,757.4976770877838,764.3978266716003,67,down
161,2,1.5356277261228835,7.285639806000124e-05,766.9279644489288,773.8284859657288,62,down
162,2,1.1744928253685716,7.457753967000241e-05,776.3526394367218,783.2530508041382,57,down
163,2,0.9165217989830804,6.524547828000091e-05,785.7637529373169,792.6640017032623,52,down
164,2,0.953460891252146,6.783508583999703e-05,793.6937630176544,794.5603873729706,52,bothold
165,2,0.963534208676761,8.69097561599988e-05,795.5520079135895,796.4185545444489,52,bothold
166,2,0.97236723541205,7.642500360000026e-05,797.4011437892914,798.2678442001343,52,bothold
167,2,0.980326666096596,6.366644928000251e-05,799.2644188404083,800.1313116550446,52,bothold
168,2,0.9875311372311173,8.438330975999928e-05,801.1318092346191,801.998450756073,52,bothold
169,2,0.9941963515441925,7.41512018399941e-05,803.0003280639648,803.8670539855957,52,bothold
