T,FL,FM,FR,xL,xM,xR
190.3139843940735,"[4.238288110265244, 3.763606344536755, 4.006914655313015, 4.065775194263347, 3.7505865018196305, 4.191362427138942, 3.8506765427075234, 3.883226149500334]","[0.009044399411560863, 0.024912625079463208, -0.0026914758219919108, 0.05020260973768256, 0.009044399411560863, 0.002763226751349518, 0.03714438236513794, -0.0008732416308780966]","[3.8206826023693137, 4.087034706986237, 4.043137767811452, 3.8982448633172404, 4.132251854858007, 3.9114469502871003, 4.003531506901873, 4.08010361132706]",326,0,400
190.64718961715698,"[4.170205182723615, 3.7774399274236994, 4.13657058903771, 4.000947227400999, 3.814600728512158, 4.240458084051431, 3.8094470407699634, 3.9987772536148123]","[0.030367327652804643, 0.013011455828536453, 0.0029285207687235054, 0.047557905459698846, 0.007060871203073069, 0.005903813081455184, 0.029375563548560746, -0.0031873578741138595]","[3.8692002719835488, 4.075482880887609, 3.9454423242344894, 3.8946142894005287, 4.0702020460996655, 3.8259634371572577, 4.014423228652007, 4.00287140255338]",327,0,399
190.98056077957153,"[4.124906979936953, 3.7657763183229425, 4.201941049346605, 3.916589496462965, 3.868307579720296, 4.214147151893909, 3.77906740776334, 4.074997582854643]","[0.04772319947707282, 0.008548517359438915, 0.0037549908555934153, 0.03863202852150377, 0.002763226751349518, 0.018962040453999823, 0.018466158401877875, 0.00028381649073977444]","[3.824313176286025, 4.132581907032253, 3.9362008633555874, 3.974486915568181, 4.09231554177418, 3.865569698066837, 4.106177733092533, 4.013433072129268]",327,0,400
191.31383991241455,"[4.0438042096782, 3.7755412003607853, 4.232320682353229, 3.8449803615187816, 3.926896871947355, 4.184310012333833, 3.765505071599669, 4.133858121804976]","[0.05036790375505655, 0.008713811376812902, 0.0029285207687235054, 0.034169090052406245, -0.0020302997524959815, 0.034995560139276155, 0.01086263360267467, 0.003920284872967403]","[3.903195645930938, 4.122680341804858, 3.895934498097515, 4.0150833330005, 4.0659113678344605, 3.8678800632865626, 4.123010393979104, 3.975147019916674]",327,0,400
191.64729380607605,"[3.9700251009478293, 3.8181269359147127, 4.236389383202329, 3.793714730820105, 3.9947085527657107, 4.113785864282743, 3.764962578153122, 4.200856062453512]","[0.046070259303333, 0.006895577185699081, 0.007556753255195017, 0.02821850542694286, -0.0038485339436097887, 0.04871496358131672, 0.008879105394186876, 0.0040855788903413764]","[3.9348806546586013, 4.1091482026607515, 3.8764614198169713, 4.061620689569256, 4.0371968286750155, 3.8784417328624503, 4.128621280941295, 3.9114469502871003]",327,0,400
191.98047256469727,"[3.881056175714147, 3.8900073175821697, 4.203839776409519, 3.7587239035178333, 4.109174669987095, 3.989012371576969, 3.8013096390717607, 4.22770948805758]","[0.03764026441725987, -0.0003773595787561479, 0.026896153287951002, 0.013011455828536453, 0.003093814786097479, 0.048053787511820795, 0.007887341289942978, 0.006730283168325107]","[3.9840584286213296, 4.081423820024046, 3.861279019801633, 4.111458567880478, 3.984388480795576, 3.9282796111736715, 4.111458567880478, 3.8731608980745067]",327,0,400
192.31374335289001,"[3.7920872504804644, 3.9887411248536955, 4.118125811855117, 3.7543839559454586, 4.190277440245848, 3.8938047717079973, 3.867222592827202, 4.210349697768081]","[0.02904497551381277, -0.003022063856739879, 0.04854966956394274, 0.008548517359438915, 0.004746754959837313, 0.03879732253887776, 0.001606168629731633, 0.021937332766731515]","[4.054359541735833, 4.04148750694022, 3.873490950248753, 4.122680341804858, 3.9190381502947695, 3.971186393825716, 4.080763715675553, 3.858308550233414]",327,0,400
192.64706540107727,"[3.7633350978134814, 4.07554007630119, 4.017493277520678, 3.7787961610400664, 4.227166994611033, 3.823551870380181, 3.944256662236854, 4.1523028989875685]","[0.017143806262886016, 0.0007796985428617231, 0.05020260973768256, 0.007722047272569005, 0.0035896968382194278, 0.03433438406978022, -0.0035179459088618276, 0.039789086643121654]","[4.104527472221301, 3.998910776462422, 3.9055060111506634, 4.116409350494175, 3.8837225676503944, 4.026305106924881, 4.0556797504328195, 3.8517075067484843]",327,0,400
192.9803285598755,"[3.7497727616498104, 4.160982794132319, 3.933949286752464, 3.8262643376129155, 4.214960892063729, 3.772014992958231, 4.036751794873091, 4.056281558948777]","[0.009374987446308825, 0.005407931029333249, 0.04243379092110537, 0.005242637011959261, 0.012515573776414504, 0.02359027294047135, -0.0023608877872439427, 0.0508637858071785]","[4.118059611365407, 3.9487428459769545, 3.949733002499694, 4.091325385251441, 3.855998185013689, 4.082083924372539, 4.016733593871733, 3.8837225676503944]",327,0,400
193.31335973739624,"[3.7557401895618256, 4.214418398617182, 3.8544739968333515, 3.903027160299294, 4.176715104082176, 3.752213982159271, 4.124364486490406, 3.962430192696173]","[0.009044399411560863, 0.0044161669250893515, 0.03764026441725987, -0.0016997117177480203, 0.031193797739674553, 0.0097055754810568, 0.003920284872967403, 0.04689672939020291]","[4.1173995070169145, 3.897254706794501, 3.997590567765436, 4.061950741743503, 3.8431261502180756, 4.1134388809259566, 3.9728366546969487, 3.925309141605453]",327,0,400
193.6467583179474,"[3.796427198052839, 4.223912033931752, 3.780966134826254, 3.9936235658726167, 4.086932438678674, 3.753570215775638, 4.199771075560418, 3.8685788264435694]","[0.006730283168325107, 0.00739145923782103, 0.026234977218455066, -0.002195593769869969, 0.04954143366818664, 0.008548517359438915, 0.0055732250467072225, 0.03697908834776395]","[4.099246637433357, 3.8642494893698514, 4.059970428698024, 4.025314950402142, 3.8662298024153303, 4.120700028759379, 3.9081464285446352, 3.9748169677424277]",327,0,400
193.9802451133728,"[3.872918774015944, 4.283586313051905, 3.836842959820579, 4.169933936000342, 4.07309885579173, 3.856372723896265, 4.303929817297412, 3.879157448651233]","[0.0021020506818535817, 0.025904389183707105, 0.01400321993278035, 0.0035896968382194278, 0.0470620234075769, 0.010201457533178748, 0.004581460942463325, 0.030532621670178617]","[4.069871993925418, 3.83421474151342, 4.098586533084863, 3.975807124265167, 3.900555228536966, 4.100236793956096, 3.8645795415440976, 4.014423228652007]",328,0,400
194.31354188919067,"[4.012068343055209, 4.173731390126169, 3.7684887855556766, 4.163695261365053, 3.9651426599289072, 3.8297905450154697, 4.249680472642727, 3.8037508595812213]","[-0.00252618180461793, 0.03995438066049564, 0.008713811376812902, 0.005407931029333249, 0.04243379092110537, 0.008383223342064927, 0.007887341289942978, 0.02821850542694286]","[4.038517037372001, 3.8437862545665684, 4.111458567880478, 3.9490728981512007, 3.927289454650932, 4.095946115690892, 3.854347924142456, 4.043137767811452]",327,0,400
194.6466612815857,"[3.9936235658726167, 4.146606717798827, 3.76876003227895, 4.190548686969121, 3.943442922067034, 3.84959155581443, 4.237745616818697, 3.7820511217193475]","[-0.002195593769869969, 0.046070259303333, 0.007887341289942978, 0.005407931029333249, 0.038962616556251745, 0.00656498915095112, 0.012846161811162465, 0.022102626784105503]","[4.028945524318853, 3.852367611096977, 4.114098985274449, 3.925309141605453, 3.9454423242344894, 4.08571449828925, 3.842796098043829, 4.064921211311721]",327,0,400
194.9801151752472,"[4.042990469508379, 4.095069840376877, 3.7671325519393095, 4.219029592912831, 3.8967884856640054, 3.888922330689076, 4.219300839636104, 3.767403798662583]","[-0.0007079476135041229, 0.04954143366818664, 0.008383223342064927, 0.0049120489772113, 0.035326148174024116, 0.003424402820845454, 0.022433214818853464, 0.017309100280260004]","[4.016403541697486, 3.868870219809302, 4.109808307009245, 3.893624132877789, 3.9695361329544836, 4.071522254796651, 3.831574324119448, 4.083404133069525]",327,0,400
195.31341004371643,"[4.082863737829573, 4.055467818778957, 3.772014992958231, 4.229879461843767, 3.8707488002297565, 3.9070958611483952, 4.209264710874987, 3.7614363707505674]","[0.002267344699227569, 0.04954143366818664, 0.009374987446308825, 0.004581460942463325, 0.034169090052406245, 0.0011102865776096843, 0.026730859270577015, 0.014994984037024248]","[3.9966004112426967, 3.886693037218613, 4.103207263524315, 3.8794318893851902, 3.983728376447083, 4.063601002614735, 3.8286038545512295, 4.090665280902948]",327,0,400
195.6466031074524,"[4.095883580546697, 4.037294288319638, 3.7768974339771524, 4.231778188906682, 3.850947789430797, 3.91062206855095, 4.204924763302612, 3.7638775912600284]","[0.0025979327339755304, 0.049210845633438666, 0.0097055754810568, 0.0037549908555934153, 0.03317732594816235, -0.0003773595787561479, 0.02954085756593472, 0.01218498574166653]","[3.989009211235027, 3.8906536633095707, 4.09990674178185, 3.8692002719835488, 3.9883491068865338, 4.0556797504328195, 3.830254115422462, 4.097266324387878]",327,0,400
195.97996401786804,"[4.109988410156915, 4.050314131036762, 3.823551870380181, 4.276262651523523, 3.8604414247453667, 3.9675838804383687, 4.215232138787003, 3.789917276694277]","[0.004581460942463325, 0.04640084733808096, 0.010201457533178748, 0.004250872907715364, 0.0316896797917965, -0.001865005735121994, 0.036483206295642, 0.009374987446308825]","[3.972506602522702, 3.8942842372262825, 4.097596376562124, 3.8592987067561535, 4.002541350379134, 4.042147611288713, 3.829594011073969, 4.0989165852591105]",328,0,400
196.31329369544983,"[4.162881521195232, 3.9683976206081883, 3.7929009906502844, 4.233948162692869, 3.795884704606292, 3.955649024614338, 4.147149211245374, 3.750857748542904]","[0.0055732250467072225, 0.043756143060097244, 0.01003616351580476, 0.005903813081455184, 0.030532621670178617, -0.0026914758219919108, 0.04309496699060131, 0.007722047272569005]","[3.952043367719419, 3.9546837851133914, 4.13753268964595, 3.8979148111429938, 4.063601002614735, 4.0721823591451445, 3.886693037218613, 4.146444098350606]",327,0,401
196.64722442626953,"[4.160982794132319, 3.990639851916609, 3.87102004695303, 4.289011247517373, 3.8281630646758296, 4.0473304170807545, 4.160982794132319, 3.801580885795034]","[0.00573851906408121, 0.039789086643121654, 0.008383223342064927, 0.008879105394186876, 0.026069683201081092, -0.002195593769869969, 0.04772319947707282, 0.007887341289942978]","[3.9662356112120185, 3.9157376285523045, 4.076803089584595, 3.8319043762936946, 4.036866776500769, 4.008812341689817, 3.8404857328241033, 4.099576689607603]",328,0,400
