"F","T","x","side"
"[2.013684784386761, 7.282109890526439, 1.034484113369707, 0.028158770025310864, -3.917500674848969, 0.8888246229718794, 0.0482310275475441, 5.18889892702544]","53.37808156013489","0","L"
"[5.258947685226627, -5.476190455987722, -5.565152718575621, -5.565152718575621, -5.38937385093905, 4.155279531220544, 5.258947685226627, 5.258947685226627, -5.530161995628247]","53.37815046310425","0","M"
"[10.616126817930434, 10.616126817930434, -6.103916025836212, -10.996983742837076, -10.996983742837076, -10.996983742837076, 8.010364902254343, 10.616126817930434]","53.37819266319275","0","R"
"[3.736372723896265, 0.8616999506445372, 0.12228138300118835, -2.6391308708178656, 0.7323152636431147, 0.5443412844146333, 8.073065335591739, 0.38376322423676734]","53.702757120132446","0","L"
"[-5.565152718575621, -5.565152718575621, -0.8785415011667619, 4.724882715091288, 5.258947685226627, 2.8046621152577313, -5.554094329719611, -5.565152718575621]","53.70281767845154","0","M"
"[10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, 8.802490120445935, 10.616126817930434, 10.616126817930434, -10.996983742837076]","53.70285487174988","0","R"
"[8.87622688320434, 0.9349365659283612, 0.4502186714387557, -0.6053113377152586, 1.024990478055137, 0.3512136174439566, 1.362150155084001, 8.579482967943218]","56.15547728538513","0","L"
"[0.45831353863404595, -5.565152718575621, -5.565152718575621, -5.565152718575621, 2.202330715946938, 5.258947685226627, 5.258947685226627, -5.4923654128218855, -5.565152718575621]","56.15554428100586","0","M"
"[10.616126817930434, 7.78922994550919, -10.996983742837076, -10.996983742837076, -10.996983742837076, -4.805755202958433, 10.54219513089922, 10.616126817930434]","56.15558743476868","0","R"
"[1.405820877531022, 0.23159381248037747, -2.805922001220564, 0.3414487354061134, 0.5424425573517193, 3.6647635889520815, 5.627504878558565, 0.7179391873096234]","56.483917474746704","0","L"
"[-5.565152718575621, -5.495831475000635, 4.136931895292032, 5.258947685226627, 5.258947685226627, -5.465132067131712, -5.565152718575621, -5.565152718575621]","56.48397779464722","0","M"
"[-1.2197465932267444, -10.996983742837076, -10.996983742837076, -10.996983742837076, 2.6737512968627377, 10.616126817930434, 10.616126817930434, -9.815818881401695, -10.996983742837076]","56.48401427268982","0","R"
"[0.22182893044253427, -3.587449822342001, 1.5012997241232666, 0.9634174718720704, 6.848115133288964, 2.493791484580718, -0.17475117209917293, 0.4637810076024268, -1.1923400556309436]","56.78042650222778","0","L"
"[-5.367917275546792, 4.07957487126326, 5.258947685226627, 5.258947685226627, -5.533958158966877, -5.565152718575621, -5.565152718575621, -2.2775102167419505]","56.78047728538513","0","M"
"[-10.996983742837076, -10.996983742837076, 3.848076932831773, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076]","56.78050255775452","0","R"
"[0.7011218904666712, 0.17408950714641197, 8.320713593940372, 1.7711902137803217, 0.6908145149822812, -0.21712807168031448, 0.03331245776750591, 1.0681187070556115]","61.10947036743164","0","L"
"[5.258947685226627, 2.127783114111272, -5.559540998857646, -5.565152718575621, -5.565152718575621, 2.1411719295185647, 5.199772427006741, 5.258947685226627]","61.10953426361084","0","M"
"[-10.996983742837076, 9.25433154698939, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076, -8.423731723281424, 10.540214817853741]","61.109572887420654","0","R"
"[1.1025670409113362, 8.87622688320434, 1.34858781892033, 0.15428849634745218, -2.178146264476858, 0.893164570544254, 0.09380047705747901, 2.02073719919187, 6.895312063138539]","61.40978980064392","0","L"
"[-5.451928020736477, -5.565152718575621, -5.565152718575621, -5.565152718575621, 3.428316442809768, 5.258947685226627, 5.258947685226627, -5.525210478230034]","61.409844160079956","0","M"
"[10.616126817930434, 2.9255811058128147, -10.996983742837076, -10.996983742837076, -10.996983742837076, -3.010938284605453, 10.616126817930434, 10.616126817930434]","61.40987014770508","0","R"
"[0.8598012235816231, 0.36070725275852644, -4.101405553159436, 0.4447937369732873, 0.7073605651019599, 5.65408705743936, 3.930314131036762, 1.2569064264539134]","61.71020030975342","0","L"
"[-5.565152718575621, -5.565152718575621, -5.402742947914225, 4.1777595175834055, 5.258947685226627, 5.258947685226627, -5.534783411866579, -5.565152718575621, -5.565152718575621]","61.71025204658508","0","M"
"[-8.182159780359513, -10.996983742837076, -10.996983742837076, -10.996983742837076, 2.55295220108852, 10.616126817930434, 10.616126817930434, -10.996983742837076]","61.71027994155884","0","R"
"[0.4572710862438647, -2.2248695127329885, 0.5888257470314745, 0.35663855190942506, 8.276229131323532, 1.3266168343351827, 1.5064534118654618, 0.04633230048463016]","62.03490924835205","0","L"
"[-5.306683510388888, 5.023569004486076, 5.258947685226627, -0.1407654088329849, -5.551453520440564, -5.565152718575621, -5.565152718575621, -0.7469961889542295]","62.034950733184814","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, 8.52227582451066, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076]","62.03496813774109","0","R"
"[0.24651238226041572, 0.4930756537159564, 1.3618789083607274, 8.87622688320434, 1.4044646439146549, 0.8332190447008279, -1.7500309199904538, 1.3702875567822037, 1.010071908275099]","62.33940124511719","0","L"
"[5.202747719319473, 5.258947685226627, -5.331606147959895, -5.565152718575621, -5.565152718575621, -5.565152718575621, 2.722510988622862, 5.258947685226627]","62.33943700790405","0","M"
"[-10.996983742837076, 10.452420939504172, 10.616126817930434, 2.998852688495537, -10.996983742837076, -10.996983742837076, -10.996983742837076, -8.756263906648696]","62.33945369720459","0","R"
"[2.037554496034822, 7.248475296840535, 1.1234530386033894, 0.37671080943165836, -3.410607760628391, 0.9178480223621356, 1.0892759514709383, 6.040342391380713]","62.636709451675415","0","L"
"[5.258947685226627, -5.475695304247901, -5.565152718575621, -5.565152718575621, -5.469423382210164, 4.105856620025723, 5.258947685226627, 5.258947685226627, -5.533132906067174]","62.63674521446228","0","M"
"[10.616126817930434, 10.616126817930434, -6.94760521257577, -10.996983742837076, -10.996983742837076, -10.996983742837076, 0.8224886515141374, 10.616126817930434]","62.63676428794861","0","R"
